Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1765,5,2012,104000,1,1,0,56,89,3,7.0,11.75
601,5,2005,87591,4,1,0,0,2,371,5.0,1.3
1159,6,2012,95100,1,1,0,354,14,299,5.0,3.75
1666,10,2017,70000,4,1,0,210,7,344,5.0,4.5
371,7,2016,54944,4,1,0,224,11,335,5.0,4.82
330,5,2012,70337,1,1,0,287,26,283,5.0,2.8
1092,6,2013,99638,1,1,0,362,14,297,5.0,3.11
447,4,2009,52000,4,1,0,217,36,41,5.0,3.25
97,4,2011,75000,1,0,2,177,64,172,5.0,13.9
706,10,2009,95980,4,1,0,291,10,310,5.0,2.25
577,1,2016,16000,4,1,0,253,10,318,5.0,5.75
605,5,2007,73745,4,1,0,188,2,371,5.0,2.1
371,9,2016,18949,4,1,0,217,11,335,5.0,5.0
1736,4,2014,107000,1,1,0,65,112,116,7.0,16.5
31,3,2018,48367,1,0,0,213,58,123,5.0,39.58
258,4,2013,57000,1,1,0,349,37,349,5.0,5.5
924,4,2014,58000,1,1,0,131,74,75,7.0,8.1
370,8,2015,30000,1,1,0,395,37,365,5.0,3.5
1824,8,2013,34212,1,1,0,340,12,296,5.0,2.79
656,0,2010,70002,1,1,0,163,33,27,5.0,3.45
1211,1,2016,62000,4,1,0,253,144,282,5.0,4.45
1833,4,2010,62001,4,1,0,136,46,11,5.0,2.65
726,10,2011,78958,1,1,2,356,25,350,5.0,3.8
750,9,2014,30180,4,1,0,241,10,321,5.0,4.65
204,10,2017,32851,4,1,0,282,11,278,7.0,3.95
15,8,2010,30000,1,0,0,125,110,184,5.0,9.8
733,10,2009,66000,4,1,2,188,10,312,5.0,2.7
1079,3,2010,93850,4,1,0,91,137,219,5.0,2.41
1714,0,2014,53000,4,1,0,215,10,310,5.0,3.9
780,5,2011,78000,1,0,2,118,114,200,5.0,24.0
924,4,2012,65000,1,1,2,156,74,75,7.0,5.75
634,8,2014,40000,1,0,0,344,39,59,5.0,5.25
1779,9,2017,30000,1,0,0,23,102,121,7.0,19.25
1050,3,2017,38053,4,1,0,131,9,292,5.0,3.91
1623,1,2014,25500,4,1,0,390,134,227,4.0,2.15
79,9,2015,56087,1,0,0,348,64,150,5.0,20.75
466,4,2010,71088,4,1,0,81,53,61,5.0,3.35
1761,0,2014,55000,1,1,0,64,89,1,7.0,11.11
1867,1,2014,32700,1,0,0,363,61,90,5.0,20.0
1385,3,2016,39882,4,0,0,260,11,304,5.0,6.55
103,9,2009,128000,4,0,0,9,92,171,5.0,7.0
1180,9,2016,55000,1,1,0,376,14,342,5.0,7.5
604,9,2005,102000,4,1,2,188,2,371,5.0,0.85
1240,10,2014,53753,1,0,2,127,70,20,5.0,16.75
650,8,2018,10250,1,1,0,339,39,56,5.0,10.95
1197,10,2011,43874,4,1,0,253,144,282,5.0,2.45
1625,3,2017,32684,4,0,0,338,134,226,4.0,3.23
889,8,2014,42000,1,1,0,39,74,45,8.0,7.75
1304,8,2009,28352,4,0,0,31,50,133,5.0,9.35
1200,10,2013,89900,0,1,0,403,144,260,5.0,3.25
402,1,2007,47700,4,1,2,9,79,91,5.0,5.25
1839,10,2015,55000,1,0,0,323,37,8,5.0,7.25
1030,7,2017,44285,4,1,0,307,21,351,5.0,7.47
914,6,2016,54000,1,0,0,156,74,75,7.0,13.25
1094,3,2016,30232,4,1,0,317,10,334,5.0,5.81
965,5,2014,88500,4,1,0,374,144,282,5.0,2.6
1342,8,2017,13372,4,0,0,254,116,221,2.0,54.0
662,7,2019,12645,4,0,0,188,42,48,5.0,11.5
972,2,2010,94385,4,1,2,278,137,239,5.0,1.6
70,3,2015,31821,1,0,0,300,64,80,5.0,17.22
474,9,2015,12000,4,0,0,254,12,344,5.0,6.0
466,4,2012,88578,4,1,0,81,53,61,5.0,3.95
1318,7,2014,44965,1,0,0,264,70,119,5.0,17.95
370,8,2014,45044,1,1,0,395,37,365,5.0,3.7
1164,7,2016,34204,4,1,0,339,10,315,5.0,5.43
607,7,2008,80759,4,1,3,188,2,371,5.0,1.67
1731,3,2012,91235,1,1,0,26,112,120,7.0,13.49
171,10,2014,38800,4,1,0,246,12,306,5.0,2.85
1517,2,2013,83000,1,1,0,320,37,12,5.0,4.75
1019,7,2018,41283,4,1,0,307,21,351,5.0,9.9
67,9,2013,23000,4,0,0,15,106,237,4.0,37.0
93,9,2014,48000,1,0,0,335,64,150,5.0,26.5
8,3,2015,48214,1,0,0,194,58,123,5.0,23.32
1159,2,2016,35000,1,1,0,354,14,299,5.0,6.25
1337,8,2010,35277,4,0,0,421,132,222,5.0,30.0
1513,3,2016,54620,1,0,0,332,37,12,5.0,9.86
1550,10,2012,136997,1,0,0,197,58,72,5.0,8.5
532,7,2019,14322,4,1,0,317,139,252,5.0,4.23
1825,6,2012,65634,1,1,0,340,12,296,5.0,3.5
201,8,2016,6000,4,1,0,302,11,281,5.0,2.5
391,8,2013,33280,4,1,0,268,11,338,5.0,2.39
1239,4,2013,29000,4,0,0,120,43,47,5.0,11.25
437,7,2015,42831,1,1,0,397,37,365,5.0,7.11
1745,0,2016,90000,1,1,0,64,89,1,7.0,10.9
1169,0,2017,24005,4,1,0,294,10,315,5.0,6.2
924,9,2012,32792,1,1,0,131,74,75,7.0,7.9
256,7,2014,147898,1,1,0,349,37,349,5.0,4.42
1736,9,2012,131765,1,1,0,65,112,116,7.0,13.5
1837,2,2013,65000,1,0,0,329,37,25,5.0,6.25
329,6,2010,66123,1,1,2,287,26,283,5.0,2.1
149,9,2015,41000,1,0,0,138,114,193,5.0,45.0
1323,3,2017,23550,1,0,0,264,70,113,5.0,33.66
394,1,2012,45000,4,1,2,268,11,338,5.0,3.65
698,4,2013,60000,4,1,0,291,10,310,5.0,2.75
1288,1,2016,44414,1,0,0,221,70,119,5.0,42.5
557,8,2019,1000,4,1,0,253,10,317,5.0,6.5
28,9,2012,62500,1,0,2,213,58,123,5.0,19.0
1856,9,2013,21000,4,0,2,103,46,13,5.0,4.45
1355,6,2017,8525,1,0,2,175,66,30,5.0,23.0
751,1,2014,29000,1,1,0,347,25,345,5.0,8.35
28,9,2014,40000,1,0,0,213,58,123,5.0,22.95
167,6,2012,88000,1,1,0,391,140,259,5.0,1.5
1548,7,2012,53537,4,0,0,86,52,98,5.0,6.89
287,2,2006,216000,1,1,2,217,26,283,5.0,1.45
109,5,2014,51000,1,0,0,345,64,150,5.0,33.5
186,6,2007,118500,4,1,0,60,46,4,5.0,1.25
1824,5,2012,63000,1,1,0,340,12,296,5.0,4.2
1462,9,2015,25000,1,1,0,285,29,25,8.0,6.75
1274,1,2014,37382,1,0,0,65,70,163,5.0,32.0
976,7,2017,24773,4,1,0,327,10,324,5.0,7.5
633,4,2012,62000,1,1,0,344,39,59,5.0,4.6
695,7,2017,52340,4,1,0,281,2,284,5.0,4.04
863,7,2016,56739,1,1,0,139,65,45,7.0,10.31
811,3,2018,36091,1,0,0,55,74,146,5.0,55.76
330,2,2010,120000,1,1,0,287,26,283,5.0,2.6
1064,9,2016,33000,1,1,0,392,14,343,7.0,8.5
417,0,2007,60006,4,1,0,0,146,372,5.278735151413753,2.95
367,8,2014,52000,1,1,0,395,37,365,5.0,3.5
694,6,2015,43571,4,1,0,291,10,310,5.0,3.55
367,8,2013,50000,1,1,0,395,37,365,5.0,3.25
1482,5,2008,113000,1,1,0,208,54,18,5.0,4.5
1440,4,2014,90000,1,1,0,283,29,327,5.0,5.35
854,2,2017,29000,1,1,2,206,33,0,7.0,6.5
1185,9,2016,20000,1,1,0,376,14,342,5.0,9.0
753,7,2016,61012,4,1,0,246,10,316,5.0,6.0
1475,6,2009,87459,4,1,0,117,23,331,5.0,2.75
1599,10,2010,70500,4,1,0,145,7,272,5.0,1.5
44,4,2015,64103,1,0,0,148,58,123,5.0,19.9
1502,9,2014,76000,4,0,0,117,52,131,5.0,10.0
1720,4,2014,104000,1,1,0,367,19,281,5.0,3.0
1120,8,2010,42001,4,1,0,161,146,372,5.278735151413753,2.11
1239,7,2014,37245,4,0,0,120,43,47,5.0,11.96
364,8,2013,45000,1,1,0,410,37,365,5.0,3.25
633,6,2012,117837,1,1,2,344,39,59,5.0,4.75
1443,9,2014,30000,1,1,0,296,29,327,5.0,5.95
522,4,2015,27057,4,1,2,137,42,48,5.0,8.15
1186,9,2016,8500,4,0,0,298,144,278,5.0,4.22
1329,8,2010,30500,4,0,0,33,50,144,5.0,10.5
39,4,2012,56000,1,0,0,36,110,186,5.0,45.0
695,10,2012,44000,4,1,2,281,2,284,5.0,2.9
1525,9,2017,10500,4,0,0,100,46,12,5.0,8.9
1553,5,2017,26000,4,0,0,115,52,130,5.0,26.0
740,3,2018,25166,4,1,0,196,10,317,5.0,8.22
378,8,2014,64000,1,1,2,395,37,365,5.0,3.5
1196,2,2004,61000,4,1,2,253,144,282,5.0,1.25
910,5,2013,107000,1,1,0,315,29,273,5.0,3.7
1325,3,2018,29161,1,0,0,264,70,113,5.0,39.41
1207,8,2013,32000,4,1,0,346,144,279,5.0,2.65
1412,3,2015,46173,1,1,2,255,29,25,5.0,8.92
1160,4,2013,47000,1,1,0,217,14,371,5.0,4.1
1350,7,2017,26327,4,0,0,181,66,149,4.0,35.67
324,1,2015,70436,1,1,0,0,37,369,5.278735151413753,3.6
1573,6,2007,200000,1,1,2,197,25,249,5.0,0.85
170,7,2016,60813,4,1,2,246,12,306,5.0,3.32
1823,9,2012,45000,1,1,0,340,12,296,5.0,3.6
1173,5,2016,64000,1,1,0,354,14,299,5.0,6.8
326,8,2012,41284,1,1,0,287,26,284,5.0,2.5
1777,7,2019,14165,1,0,0,23,102,121,7.0,19.64
582,9,2011,67000,1,0,2,32,76,155,7.0,7.0
459,8,2011,32572,4,1,0,203,36,41,5.0,3.87
715,7,2018,14960,4,1,0,246,10,316,5.0,6.27
1325,7,2015,55980,1,0,0,264,70,113,5.0,18.12
167,9,2013,74000,1,1,0,391,140,259,5.0,2.65
765,7,2015,56847,1,1,0,347,25,345,5.0,7.2
1766,3,2015,121374,1,1,0,64,89,1,7.0,14.3
1059,2,2013,52000,1,1,0,308,14,346,7.0,6.9
1759,9,2014,118000,1,1,0,56,89,3,7.0,10.75
607,9,2007,72000,4,1,3,188,2,371,5.0,0.95
450,7,2016,33915,4,1,0,217,36,41,5.0,8.09
135,0,2014,82002,1,0,0,190,64,142,5.0,18.5
568,9,2017,33000,1,1,0,372,3,288,5.0,4.75
1016,2,2016,34000,1,1,0,412,14,342,5.0,8.45
1537,8,2012,55000,1,1,0,297,46,13,5.0,3.5
500,7,2006,160538,1,1,0,68,33,318,5.0,1.8
1826,6,2014,60000,1,1,2,284,37,13,5.0,3.7
476,3,2017,49575,4,1,0,248,12,344,5.0,7.17
691,6,2010,83000,4,1,0,281,2,284,5.0,1.75
616,7,2018,51346,1,0,0,167,64,141,5.0,21.99
1775,10,2017,43000,1,1,0,85,83,85,7.0,18.65
1084,6,2011,35000,4,1,3,278,137,219,5.0,1.85
1168,3,2017,27872,4,1,2,294,10,315,5.0,5.95
574,9,2014,16514,4,1,0,253,10,318,5.0,3.75
1159,10,2012,120000,1,1,0,354,14,299,5.0,3.75
649,5,2008,143275,1,1,0,339,39,56,5.0,2.6
601,5,2006,99000,4,1,0,0,2,371,5.0,1.75
716,9,2010,52000,4,1,0,188,10,312,5.0,2.8
1294,3,2017,29819,1,0,0,28,113,190,5.0,61.29
1320,1,2014,57000,1,1,2,150,72,119,5.0,18.0
1096,5,2014,88500,1,1,0,362,14,297,5.0,4.35
511,1,2016,28000,1,1,0,275,39,56,5.0,13.75
950,10,2010,67000,4,1,0,254,144,276,5.0,2.0
1430,4,2016,26000,1,1,0,274,29,22,5.0,10.0
213,4,2010,120000,1,1,0,217,14,305,5.0,1.65
145,3,2017,51982,1,0,0,174,114,193,5.0,45.77
704,1,2010,36000,4,1,2,291,10,310,5.0,3.25
1750,10,2016,47000,1,1,0,56,89,3,7.0,12.8
1233,9,2002,60000,4,1,3,201,142,263,5.0,0.55
1159,5,2018,31025,1,1,0,413,14,299,5.0,7.15
890,10,2013,105000,1,1,2,39,74,45,8.0,7.0
1662,10,2017,121900,1,1,0,355,14,299,5.0,3.75
236,9,2017,22695,4,1,0,252,145,52,5.0,8.5
1143,6,2012,73000,1,1,0,364,14,299,5.0,4.35
956,7,2016,32227,4,1,0,351,137,241,5.0,3.26
419,6,2011,55000,4,1,0,188,36,42,5.0,4.21
1479,9,2009,48000,1,0,2,188,54,16,5.0,2.95
637,7,2012,54308,4,1,0,193,42,48,5.0,4.28
420,6,2009,78442,4,0,0,180,36,42,5.0,3.57
763,8,2013,46000,1,1,0,338,25,347,5.0,3.11
766,3,2014,45051,4,0,0,127,25,365,5.0,5.96
1848,5,2011,69000,1,1,0,299,46,13,5.0,4.7
451,0,2014,49000,4,1,0,203,36,41,5.0,6.9
1662,10,2018,45000,1,1,0,355,14,299,5.0,5.25
95,10,2015,64000,1,0,0,239,64,128,5.0,28.0
1203,4,2009,60000,4,1,0,253,1,278,5.0,1.35
488,4,2015,62178,4,1,0,232,12,344,5.0,4.85
1801,3,2012,58006,1,1,0,127,54,16,5.0,6.7
698,5,2010,74000,4,1,0,291,10,310,5.0,3.1
1318,7,2015,77771,1,0,0,264,70,119,5.0,18.64
699,10,2012,45275,4,1,0,291,10,310,5.0,2.8
1775,2,2016,48000,1,1,0,85,83,85,7.0,20.25
29,7,2015,31652,1,0,0,213,58,123,5.0,26.78
1761,5,2010,109000,1,1,2,64,89,1,7.0,8.26
1834,9,2015,31978,4,1,0,170,11,296,5.0,3.89
961,5,2011,70000,4,1,0,312,144,282,5.0,2.1
457,9,2017,15000,4,0,0,224,36,41,5.0,12.69
1594,3,2013,59138,1,1,0,188,27,288,5.0,2.58
28,7,2014,61726,1,0,0,213,58,123,5.0,20.77
1283,4,2015,48000,1,0,0,221,70,67,5.0,20.26
601,2,2006,58000,4,1,2,0,2,371,5.0,1.5
1160,8,2011,60020,1,1,0,217,14,371,5.0,2.5
1005,5,2014,77815,4,0,0,360,144,279,5.0,4.25
1293,5,2017,29000,1,0,0,221,70,164,5.0,57.0
820,4,2017,44000,1,0,0,55,74,146,5.0,44.0
1849,5,2011,108626,1,1,0,299,46,13,5.0,3.65
1081,5,2012,71791,4,1,0,91,137,219,5.0,2.05
388,7,2012,91931,4,1,0,241,11,338,5.0,3.13
1644,5,2000,158000,1,1,2,93,109,324,7.0,1.5
1580,10,2012,91183,1,1,0,224,14,303,5.0,2.85
1197,4,2012,65000,4,1,0,253,144,282,5.0,2.65
925,5,2015,88428,1,1,0,156,74,75,7.0,10.6
1593,10,2008,138000,1,1,2,193,25,288,5.0,1.25
1056,9,2018,18000,4,1,0,157,21,358,7.0,8.25
346,9,2011,60000,4,0,0,31,79,132,5.0,4.45
1137,8,2012,48000,1,1,0,265,14,296,5.0,3.7
302,5,2009,160000,1,1,0,217,26,283,5.0,2.8
433,8,2008,40000,4,1,0,214,36,309,5.0,1.8
28,7,2014,51495,1,0,0,213,58,123,5.0,21.95
119,9,2011,30000,1,0,0,437,114,211,4.0,49.0
66,3,2017,97430,1,0,0,119,110,185,7.0,62.67
1225,10,2008,42496,0,1,0,401,144,282,5.0,1.4
724,10,2012,83000,1,1,0,356,25,350,5.0,5.5
708,1,2009,37000,4,0,3,184,10,310,5.0,2.95
474,7,2016,28503,4,0,0,254,12,344,5.0,6.86
1160,5,2015,76496,1,1,0,388,14,299,5.0,6.15
750,10,2011,79152,4,1,2,241,10,321,5.0,3.3
1831,8,2011,32000,4,1,0,170,11,296,5.0,2.55
970,0,2009,35000,4,1,0,278,137,239,5.0,1.5
1703,2,2004,105000,4,0,2,21,49,55,5.0,2.5
970,2,2006,56000,4,1,2,278,137,239,5.0,1.4
1614,10,2012,73000,1,1,0,318,14,347,5.0,3.4
970,10,2012,38000,4,1,0,278,137,239,5.0,2.25
1703,8,2008,80000,4,0,0,21,49,55,5.0,2.8
753,3,2016,24973,4,1,0,246,10,316,5.0,7.66
1178,2,2016,45000,1,1,0,376,14,342,5.0,7.15
423,4,2010,87430,4,1,0,188,36,42,5.0,3.5
1579,5,2014,133944,1,1,2,224,14,303,5.0,3.5
367,8,2013,57000,1,1,0,395,37,365,5.0,3.45
526,3,2016,27904,4,1,0,317,139,252,5.0,3.55
93,7,2015,30717,1,0,2,335,64,150,5.0,25.99
633,1,2012,80000,1,1,0,344,39,59,5.0,5.25
1612,0,2013,47304,1,1,0,314,14,347,5.0,2.9
1506,6,2005,100000,4,0,0,105,61,176,5.0,2.05
965,10,2017,30000,4,1,0,374,144,282,5.0,3.75
258,9,2014,68000,1,1,0,349,37,349,5.0,6.75
197,8,2011,21000,4,1,2,224,143,265,5.0,0.95
777,5,2017,21000,1,0,0,266,67,128,5.0,52.0
408,6,2007,119000,4,1,3,68,65,78,5.0,3.91
1551,7,2019,13747,4,0,0,115,52,130,5.0,27.3
1147,4,2013,70000,1,1,0,354,14,299,5.0,3.5
1141,9,2016,18000,4,0,0,241,10,326,5.0,6.2
1378,2,2011,83000,1,1,0,359,29,268,5.0,2.75
1134,9,2015,130000,1,1,0,364,14,299,5.0,3.25
297,10,2012,63400,1,1,0,217,26,278,5.0,3.25
1227,8,2003,65000,4,1,0,201,142,263,5.0,0.65
1345,10,2017,8350,4,1,0,88,66,152,5.0,35.0
1712,8,2014,45000,1,1,0,367,19,280,5.0,3.25
952,8,2018,26200,4,1,0,381,137,241,5.0,2.9
974,1,2011,11000,4,1,3,253,137,240,5.0,2.9
147,1,2009,90000,1,0,2,14,114,178,5.0,17.75
1401,9,2015,74000,4,0,2,16,91,135,5.0,8.25
563,3,2015,37081,4,0,0,253,10,318,5.0,5.77
1183,5,2017,39000,1,1,0,376,14,342,5.0,9.49
58,9,2008,99000,1,0,3,40,110,184,7.0,12.95
1282,2,2015,38000,1,0,0,221,70,67,5.0,20.0
941,2,2007,72000,4,1,3,161,137,225,4.0,1.0
1440,2,2015,93000,1,1,2,295,29,327,5.0,7.1
1688,9,2017,5900,1,1,0,328,19,339,5.0,16.5
1306,2,2014,25000,1,1,0,150,72,119,5.0,26.0
1092,5,2010,68000,1,1,2,317,14,296,5.0,3.2
383,7,2017,35676,4,0,0,156,36,41,7.0,9.48
667,7,2015,74310,1,1,0,377,3,290,5.0,4.0
1254,6,2014,59364,1,0,0,97,70,165,5.0,26.5
1239,7,2014,41380,4,0,2,120,43,47,5.0,11.77
1262,1,2017,33900,1,0,0,127,70,167,5.0,37.0
452,9,2016,28000,4,1,0,217,36,41,5.0,8.75
604,5,2007,50958,4,1,0,188,2,371,5.0,1.95
419,2,2011,93982,4,1,0,188,36,42,5.0,3.75
658,10,2010,95000,4,1,0,163,47,8,5.0,2.5
776,9,2017,9000,4,0,0,81,67,187,5.0,34.5
369,4,2015,52516,4,1,0,224,11,335,5.0,4.65
1349,1,2015,20000,4,0,0,251,46,51,4.0,32.0
1335,3,2017,56451,1,0,0,81,113,205,5.0,62.81
532,2,2014,37000,4,1,0,317,139,252,5.0,3.25
1211,8,2014,17400,4,1,0,298,144,279,5.0,3.1
1088,3,2011,90207,1,1,0,317,14,296,5.0,3.91
83,2,2011,89616,1,0,0,159,64,137,5.0,11.0
1659,10,2014,85000,1,1,0,80,74,70,5.0,3.5
1,2,2014,79271,1,0,0,293,58,80,5.0,16.5
811,5,2012,56000,1,0,0,55,74,146,5.0,30.0
1280,10,2010,85001,1,0,2,38,113,173,7.0,28.0
1368,5,2018,12000,1,0,0,81,86,126,7.0,28.0
967,6,2010,125000,4,1,0,278,137,239,5.0,0.92
1199,10,2013,53000,4,1,0,91,1,270,5.0,2.75
812,3,2017,34990,1,0,0,55,74,146,5.0,53.83
636,10,2011,49768,4,1,2,189,42,48,5.0,4.95
113,5,2013,56000,1,0,0,177,114,172,5.0,33.5
782,1,2013,75000,1,0,0,118,114,200,5.0,27.95
1548,5,2010,57000,4,0,0,86,52,98,5.0,7.25
46,7,2017,37542,1,0,0,148,58,123,5.0,25.71
813,3,2014,95649,1,0,0,55,74,146,5.0,29.67
1307,6,2013,35299,1,0,0,123,70,119,5.0,19.0
877,7,2017,28464,1,1,0,139,74,45,7.0,13.05
93,9,2015,41000,1,0,0,335,64,150,5.0,25.5
382,10,2017,9000,4,1,0,139,36,41,7.0,8.5
1865,2,2010,92098,1,0,2,156,84,171,5.0,7.25
503,10,2005,5834,4,1,0,72,34,359,5.0,0.8
746,6,2017,40250,4,1,0,196,10,317,5.0,6.9
532,8,2015,20800,4,1,2,317,139,252,5.0,2.25
576,7,2018,40322,4,1,0,253,10,317,5.0,5.5
416,9,2013,52576,4,1,0,65,33,0,5.0,4.35
1834,8,2010,55000,4,1,0,170,11,296,5.0,2.25
36,9,2016,47000,4,0,0,136,52,147,5.0,24.5
1799,5,2010,42021,1,1,0,0,58,371,5.0,5.45
519,3,2017,23163,4,1,0,137,42,48,5.0,12.03
1314,9,2011,50000,4,0,2,33,50,144,5.0,8.5
1350,9,2014,11900,4,0,0,181,66,149,4.0,28.5
607,10,2006,108000,4,1,2,188,2,371,5.0,1.2
1724,1,2013,37000,1,1,0,367,19,279,5.0,5.75
391,4,2014,30000,4,1,2,268,11,338,5.0,3.2
979,3,2018,12831,4,0,0,327,10,324,5.0,9.89
1483,3,2012,143017,1,0,0,287,58,72,5.0,6.58
529,7,2018,13102,4,1,0,317,139,252,5.0,4.06
1429,3,2019,24950,1,1,0,292,29,22,5.0,13.37
101,3,2011,57832,1,0,0,163,114,193,5.0,25.82
956,7,2016,34267,4,1,0,351,137,241,5.0,3.74
1868,1,2015,33000,1,0,2,180,61,90,5.0,22.0
1198,0,2007,55100,4,1,0,253,144,282,5.0,1.45
433,8,2008,40000,4,1,0,214,36,309,5.0,2.0
1049,7,2017,31841,0,1,0,130,9,292,5.0,4.7
179,8,2014,15000,4,1,0,86,26,366,8.0,3.75
833,3,2016,82756,1,1,0,154,95,266,7.0,7.7
586,3,2012,50243,4,1,0,0,2,371,5.0,3.35
525,5,2014,20600,4,1,0,317,139,252,5.0,2.6
520,3,2017,29952,4,0,0,65,42,48,5.0,13.77
1843,9,2017,15000,4,1,2,160,46,11,5.0,7.1
463,10,2008,61938,4,0,2,60,53,61,5.0,2.65
1582,5,2014,67000,1,1,0,343,14,299,5.0,2.5
924,7,2013,61672,1,1,0,156,74,75,7.0,7.53
711,3,2017,26185,4,1,0,246,10,316,5.0,7.98
57,1,2014,38000,1,0,2,95,58,122,5.0,39.0
1095,2,2011,67000,4,1,2,241,10,334,5.0,2.25
1356,2,2010,66000,4,1,2,70,67,34,5.0,3.85
1759,5,2015,80883,1,1,0,56,89,3,7.0,13.5
1000,5,2016,80219,1,1,0,411,136,240,5.0,3.5
1104,4,2018,12923,1,1,0,386,14,342,5.0,8.92
47,3,2016,86642,1,0,0,134,58,137,5.0,20.37
93,1,2016,19235,1,0,0,335,64,150,5.0,36.5
